t_s,robot_x,robot_y,robot_z,robot_qw,robot_qx,robot_qy,robot_qz,elevator_x,elevator_y,elevator_z,elevator_qw,elevator_qx,elevator_qy,elevator_qz,pivot_x,pivot_y,pivot_z,pivot_qw,pivot_qx,pivot_qy,pivot_qz
2.177844,5.134464,5.515084,0.000000,0.846693,0.000000,0.000000,0.532082,0.000000,0.000000,0.802053,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.662478,-0.455084,0.000000,-0.890449,0.000000
2.197822,5.134828,5.513113,0.000000,0.845836,0.000000,0.000000,0.533443,0.000000,0.000000,0.802091,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.662516,-0.444122,0.000000,-0.895966,0.000000
2.217819,5.135219,5.510140,0.000000,0.845746,0.000000,0.000000,0.533585,0.000000,0.000000,0.802376,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.662801,-0.433785,0.000000,-0.901016,0.000000
2.238168,5.133769,5.507423,0.000000,0.846045,0.000000,0.000000,0.533111,0.000000,0.000000,0.802841,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663266,-0.421305,0.000000,-0.906919,0.000000
2.257831,5.132029,5.504766,0.000000,0.846801,0.000000,0.000000,0.531909,0.000000,0.000000,0.803294,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663719,-0.412940,0.000000,-0.910758,0.000000
2.277828,5.130362,5.499577,0.000000,0.847731,0.000000,0.000000,0.530427,0.000000,0.000000,0.803343,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663768,-0.407344,0.000000,-0.913275,0.000000
2.297807,5.127583,5.495380,0.000000,0.848743,0.000000,0.000000,0.528805,0.000000,0.000000,0.803182,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663607,-0.405241,0.000000,-0.914210,0.000000
2.317933,5.124099,5.490517,0.000000,0.849925,0.000000,0.000000,0.526904,0.000000,0.000000,0.803182,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663607,-0.406643,0.000000,-0.913587,0.000000
2.337819,5.120134,5.481880,0.000000,0.851349,0.000000,0.000000,0.524600,0.000000,0.000000,0.803331,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663756,-0.412940,0.000000,-0.910758,0.000000
2.357834,5.115074,5.476033,0.000000,0.852660,0.000000,0.000000,0.522466,0.000000,0.000000,0.803362,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663787,-0.422000,0.000000,-0.906596,0.000000
2.377813,5.110251,5.468682,0.000000,0.854117,0.000000,0.000000,0.520082,0.000000,0.000000,0.803312,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663737,-0.433094,0.000000,-0.901349,0.000000
2.397828,5.105526,5.458309,0.000000,0.855572,0.000000,0.000000,0.517684,0.000000,0.000000,0.803256,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663681,-0.442747,0.000000,-0.896646,0.000000
2.417825,5.101320,5.450878,0.000000,0.856946,0.000000,0.000000,0.515407,0.000000,0.000000,0.803182,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663607,-0.450296,0.000000,-0.892879,0.000000
2.438045,5.096890,5.442432,0.000000,0.858200,0.000000,0.000000,0.513315,0.000000,0.000000,0.803095,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663520,-0.454400,0.000000,-0.890798,0.000000
2.457819,5.093687,5.434022,0.000000,0.859379,0.000000,0.000000,0.511339,0.000000,0.000000,0.803039,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663464,-0.456449,0.000000,-0.889750,0.000000
